year,SpGFS,PtGFS,PtCPUE,SpCPUE
1982,NA,NA,NA,NA
1983,7.04,NA,NA,NA
1984,6.33,NA,NA,NA
1985,3.83,10.97,NA,20.58
1986,4.16,17.7,NA,21.14
1987,NA,8.61,NA,20.05
1988,5.59,15.33,NA,16.55
1989,7.14,8.39,41.77,16.09
1990,3.34,11.79,39.34,16.86
1991,3.37,20.94,35.44,12.39
1992,2.14,11.71,33.09,15.12
1993,2.49,5.54,27.34,11.55
1994,3.98,9.86,33.17,11.95
1995,4.58,14.8,41.9,20.05
1996,6.54,9.24,38.12,20.21
1997,7.27,24.56,44.61,20.8
1998,3.36,15.57,37.9,27.49
1999,3.35,11.62,45.77,22.85
2000,3.01,11.81,32.7,19.59
2001,1.73,15.56,41.93,19.96
2002,1.91,13.01,41.18,10.62
2003,2.61,9.77,37.66,14.79
2004,3.94,18.45,37.6,12.29
2005,6.46,19.02,40.34,16
2006,5.5,16.54,37.74,26.87
2007,4.97,25.84,36.05,29.31
2008,4.93,34.6,43.3,37.7
2009,9.32,37.47,40.65,39.6
2010,8.36,38.2,40.72,40.24
2011,8.98,18.72,41.07,46.64
2012,8.44,NA,48.86,41.9
2013,5.59,35.2,46.19,NA
2014,3.72,17.1,45.22,NA
2015,9.87,37.2,59.47,NA
2016,7.67,18.7,44.9,NA
2017,6.58,19.7,42.08,NA
2018,6.48,18.06,43.19,NA
2019,5.71,NA,44.32,NA
